step,seed1,seed2,seed3,seed4,seed5
352000,0.18,0.53,0.37,0.39,0.65
353000,0.27,0.55,0.39,0.42,0.63
354000,0.26,0.54,0.42,0.37,0.62
355000,0.25,0.58,0.4,0.45,0.68
356000,0.23,0.61,0.4,0.41,0.69
357000,0.31,0.62,0.47,0.4,0.74
358000,0.32,0.54,0.53,0.41,0.78
359000,0.36,0.49,0.51,0.43,0.77
360000,0.38,0.44,0.53,0.46,0.78
361000,0.34,0.42,0.52,0.46,0.77
362000,0.29,0.39,0.46,0.44,0.77
363000,0.3,0.44,0.46,0.49,0.76
364000,0.27,0.44,0.41,0.54,0.78
365000,0.25,0.41,0.43,0.57,0.79
366000,0.16,0.41,0.39,0.49,0.8
367000,0.17,0.42,0.35,0.53,0.77
368000,0.2,0.48,0.33,0.53,0.83
369000,0.17,0.49,0.32,0.54,0.79
370000,0.2,0.5,0.33,0.58,0.78
371000,0.27,0.52,0.34,0.55,0.74
372000,0.29,0.59,0.38,0.54,0.66
373000,0.36,0.62,0.38,0.52,0.73
374000,0.42,0.66,0.34,0.55,0.74
375000,0.44,0.66,0.37,0.51,0.77
376000,0.45,0.65,0.39,0.51,0.73
377000,0.41,0.65,0.4,0.5,0.72
378000,0.4,0.68,0.37,0.56,0.71
379000,0.38,0.67,0.39,0.58,0.69
380000,0.36,0.62,0.42,0.57,0.67
381000,0.29,0.56,0.37,0.63,0.77
382000,0.28,0.59,0.37,0.56,0.76
383000,0.27,0.61,0.39,0.57,0.79
384000,0.27,0.56,0.36,0.59,0.78
385000,0.31,0.52,0.4,0.64,0.79
386000,0.33,0.51,0.38,0.64,0.76
387000,0.33,0.52,0.41,0.64,0.81
388000,0.31,0.55,0.45,0.65,0.8
389000,0.33,0.62,0.4,0.68,0.74
390000,0.34,0.59,0.4,0.7,0.78
391000,0.38,0.62,0.39,0.71,0.76
392000,0.38,0.68,0.43,0.68,0.84
393000,0.34,0.73,0.48,0.69,0.76
394000,0.29,0.72,0.52,0.6,0.79
395000,0.29,0.72,0.52,0.43,0.78
396000,0.3,0.69,0.52,0.35,0.77
397000,0.33,0.74,0.51,0.22,0.74
398000,0.34,0.76,0.53,0.21,0.74
399000,0.31,0.75,0.56,0.15,0.77
400000,0.29,0.73,0.57,0.17,0.75
401000,0.22,0.62,0.6,0.14,0.77
402000,0.22,0.63,0.6,0.17,0.79
403000,0.21,0.64,0.65,0.24,0.78
404000,0.2,0.62,0.61,0.26,0.73
405000,0.19,0.58,0.6,0.32,0.74
406000,0.27,0.6,0.54,0.37,0.68
407000,0.27,0.59,0.59,0.39,0.68
408000,0.29,0.56,0.61,0.43,0.69
409000,0.3,0.57,0.66,0.48,0.73
410000,0.31,0.59,0.61,0.54,0.7
411000,0.32,0.63,0.57,0.57,0.67
412000,0.37,0.61,0.6,0.55,0.69
413000,0.37,0.63,0.59,0.59,0.65
414000,0.35,0.65,0.6,0.61,0.66
415000,0.33,0.69,0.62,0.67,0.7
416000,0.25,0.74,0.6,0.75,0.68
417000,0.27,0.74,0.63,0.81,0.67
418000,0.3,0.79,0.63,0.76,0.71
419000,0.29,0.81,0.71,0.72,0.69
420000,0.3,0.83,0.69,0.7,0.67
421000,0.3,0.79,0.72,0.72,0.65
422000,0.25,0.84,0.67,0.77,0.71
423000,0.24,0.81,0.67,0.78,0.73
424000,0.26,0.83,0.63,0.76,0.76
425000,0.27,0.79,0.67,0.77,0.73
426000,0.27,0.87,0.75,0.74,0.78
427000,0.23,0.87,0.77,0.79,0.74
428000,0.23,0.9,0.74,0.8,0.72
429000,0.3,0.96,0.69,0.81,0.7
430000,0.29,0.95,0.7,0.76,0.74
431000,0.35,0.93,0.69,0.63,0.71
432000,0.36,0.89,0.68,0.54,0.73
433000,0.39,0.87,0.57,0.54,0.66
434000,0.43,0.91,0.6,0.55,0.68
435000,0.42,0.9,0.6,0.61,0.68
436000,0.44,0.88,0.61,0.58,0.66
437000,0.43,0.84,0.63,0.51,0.65
438000,0.45,0.87,0.63,0.43,0.67
439000,0.48,0.9,0.68,0.46,0.69
440000,0.39,0.91,0.66,0.5,0.72
441000,0.41,0.86,0.56,0.54,0.73
442000,0.37,0.82,0.56,0.57,0.73
443000,0.4,0.77,0.56,0.53,0.69
444000,0.45,0.72,0.59,0.5,0.68
445000,0.43,0.68,0.58,0.57,0.65
446000,0.42,0.7,0.61,0.6,0.66
447000,0.46,0.65,0.63,0.6,0.61
448000,0.44,0.72,0.65,0.63,0.59
449000,0.47,0.81,0.68,0.63,0.6
450000,0.48,0.9,0.62,0.63,0.59
451000,0.49,0.93,0.66,0.62,0.58
452000,0.46,0.87,0.65,0.66,0.54
453000,0.48,0.84,0.63,0.72,0.54
454000,0.47,0.89,0.63,0.71,0.56
455000,0.49,0.9,0.57,0.64,0.55
456000,0.5,0.92,0.58,0.62,0.55
457000,0.48,0.91,0.59,0.57,0.62
458000,0.46,0.9,0.62,0.61,0.64
459000,0.44,0.94,0.62,0.63,0.71
460000,0.44,0.93,0.7,0.67,0.75
461000,0.46,0.93,0.69,0.62,0.74
462000,0.5,0.93,0.68,0.58,0.75
463000,0.51,0.94,0.7,0.59,0.68
464000,0.52,0.85,0.67,0.58,0.7
465000,0.5,0.76,0.68,0.58,0.7
466000,0.49,0.72,0.65,0.58,0.65
467000,0.5,0.74,0.6,0.58,0.68
468000,0.48,0.72,0.59,0.63,0.74
469000,0.47,0.71,0.58,0.62,0.78
470000,0.44,0.66,0.63,0.61,0.75
471000,0.45,0.67,0.6,0.55,0.78
472000,0.46,0.66,0.67,0.55,0.74
473000,0.48,0.66,0.65,0.57,0.73
474000,0.46,0.65,0.7,0.57,0.71
475000,0.44,0.62,0.73,0.59,0.69
476000,0.36,0.63,0.7,0.63,0.66
477000,0.36,0.6,0.64,0.68,0.63
478000,0.34,0.62,0.63,0.63,0.68
479000,0.33,0.55,0.65,0.65,0.73
480000,0.33,0.55,0.6,0.67,0.72
481000,0.34,0.57,0.59,0.67,0.73
482000,0.34,0.59,0.61,0.65,0.62
483000,0.35,0.61,0.63,0.68,0.63
484000,0.37,0.59,0.63,0.69,0.54
485000,0.36,0.6,0.61,0.68,0.56
486000,0.36,0.6,0.64,0.67,0.57
487000,0.39,0.56,0.66,0.65,0.59
488000,0.39,0.58,0.61,0.62,0.63
489000,0.43,0.58,0.65,0.61,0.62
490000,0.42,0.53,0.66,0.6,0.65
491000,0.36,0.56,0.59,0.63,0.63
492000,0.36,0.54,0.55,0.61,0.62
493000,0.41,0.56,0.53,0.6,0.63
494000,0.38,0.53,0.52,0.61,0.62
495000,0.42,0.59,0.53,0.57,0.65
496000,0.43,0.62,0.53,0.51,0.69
497000,0.46,0.61,0.54,0.48,0.74
498000,0.49,0.59,0.54,0.46,0.77
499000,0.51,0.56,0.55,0.44,0.75
500000,0.52,0.56,0.54,0.45,0.74
501000,0.56,0.57,0.54,0.42,0.68
502000,0.56,0.56,0.56,0.4,0.69
503000,0.54,0.54,0.6,0.4,0.76
504000,0.55,0.51,0.63,0.39,0.72
505000,0.58,0.51,0.58,0.36,0.74
506000,0.53,0.49,0.53,0.35,0.75
507000,0.52,0.5,0.47,0.39,0.77
508000,0.51,0.48,0.49,0.39,0.76
509000,0.48,0.53,0.49,0.42,0.74
510000,0.46,0.53,0.49,0.43,0.72
